,index,designation,distance,magnitude,absoluteMagnitude,scaledMagnitude,spectralType,spectralColor,colorIndex,xCoord,yCoord,zCoord,constellation,luminosity
54143,54143,Gl 412.1,122.1001,4.62,-0.8140000000000001,0.20615999999999998,G,16702104,0.988,-54.992171,13.065371,-108.229327,Car,184.33168795057549
54153,54153,4320.0,175.4386,6.76,0.539,0.19262999999999997,A,13291261,0.035,-149.694959,35.491597,-84.323927,Hya,53.01515066784589
54178,54178,65    Leo,63.2111,5.52,1.516,0.18286,G,16702104,0.955,-61.486915,14.505587,2.1570150000000003,Leo,21.557579680386286
54191,54191,4324.0,54.7645,6.58,2.888,0.16913999999999998,F,16773591,0.363,-44.921199,10.548749,-29.495054999999997,Hya,6.09256259749656
54201,54201,4327.0,84.1043,5.15,0.526,0.19276,A,13291261,0.028999999999999998,-60.240626,14.107632999999998,-56.969974,Cen,53.65373995198518
54229,54229,64    Leo,77.4593,6.48,2.035,0.17767,A,13291261,0.16399999999999998,-69.28275,16.102923,30.668173,Leo,13.36595516546442
54241,54241,Gl 412.2,25.6542,6.51,4.4639999999999995,0.15338000000000002,G,16702104,0.606,-21.607654999999998,4.997746,-12.894788,Hya,1.4269212315793631
54259,54259,Gl 412.3,28.2008,9.32,7.069,0.12733,K,16623706,1.237,-24.203687,5.57615,-13.355925,Hya,0.12953883889748874
54271,54271,4331.0,132.8021,6.47,0.8540000000000001,0.18948,A,13291261,0.028999999999999998,-112.122868,25.750146,-66.34575600000001,Hya,39.66431879468582
54318,54318,4334.0,55.6483,5.43,1.703,0.18099,A,13291261,0.069,-47.874547,10.891478999999999,-26.194516,Hya,18.14679779396928
54328,54328,67    Leo,141.2429,5.7,-0.05,0.19852,A,13291261,0.081,-125.17538400000001,28.42871,58.927696,Leo,91.20108393559096
54364,54364,4333.0,117.096,5.71,0.36700000000000005,0.19435,M,16541255,1.4,-92.061901,20.697244,69.337938,UMa,62.11550208324419
54373,54373,Gl 413.1,10.7527,10.44,10.282,0.09519999999999999,M,16541255,1.5290000000000001,-9.540629,2.135974,-4.475893,Crt,0.006717381285473807
54378,54378,4336.0,168.0672,5.89,-0.237,0.20038999999999998,M,16541255,1.564,-119.554952,26.700871000000003,115.066566,UMa,108.34278621501396
54379,54379,Wo 9350,58.1395,9.74,5.917999999999999,0.13884000000000002,G,16702104,0.764,-41.85557,9.346561,-39.2551,Cen,0.37393834364315137
54380,54380,52Psi UMa,44.3066,3.0,-0.23199999999999998,0.20034,K,16623706,1.1440000000000001,-30.843315000000004,6.885330000000001,31.054046000000003,UMa,107.84499632938316
54381,54381,4330.0,111.2347,6.07,0.8390000000000001,0.18963,F,16773591,0.225,-42.051840000000006,9.387542999999999,102.55089100000001,UMa,40.216104433421314
54382,54382,NN 3644,30.003,7.69,5.303999999999999,0.14498,G,16702104,0.777,-29.255601000000002,6.529975,1.285827,Leo,0.6582638416409013
54401,54401,4339.0,120.919,5.79,0.37799999999999995,0.19424,A,13291261,0.027000000000000003,-99.700424,22.153312,-64.733769,Hya,61.48936385126264
54410,54410,NN 3645,35.9971,10.48,7.699,0.12103,M,16541255,1.4,-34.577789,7.671871,-6.427295,Crt,0.0725103497617198
54487,54487,Gl 414A,11.8723,8.31,7.937,0.11864999999999998,K,16623706,1.255,-10.002848,2.1678919999999997,6.015937999999999,UMa,0.058237134794375076
54491,54491,Gl 415,20.2511,9.23,7.6979999999999995,0.12104,K,16623706,1.083,-19.433257,4.203541,-3.847119,Crt,0.07257716502674275
54498,54498,Gl 414.1A,16.9033,10.92,9.78,0.10022,M,16541255,1.632,-12.002049000000001,2.588107,11.617697,UMa,0.010665961212302578
54513,54513,4349.0,173.913,6.34,0.138,0.19663999999999998,K,16623706,1.3730000000000002,-54.131589,11.631405,-164.864472,Car,76.70081876935099
54517,54517,Gl 416,21.5703,9.06,7.391,0.12411,K,16623706,1.203,-20.372239999999998,4.3718900000000005,-5.57965,Crt,0.09629417129715556
54522,54522,11Bet Crt,104.2753,4.46,-0.631,0.20432999999999998,A,13291261,0.025,-93.979241,20.122462,-40.451687,Crt,155.7399389080856
54528,54528,4341.0,56.1798,6.3,2.552,0.1725,A,13291261,0.209,-53.212326000000004,11.376345,13.971507,Leo,8.302330159249538
54544,54544,NN 3648,22.1435,7.05,5.324,0.14478,G,16702104,0.76,-19.445629999999998,4.131536,-9.754741000000001,Hya,0.6462491724953879
54561,54561,4340.0,90.7441,6.4,1.611,0.18191,A,13291261,0.127,-32.865111999999996,6.958373,84.296666,UMa,19.751496220607592
54583,54583,Psi Crt,153.8462,6.11,0.175,0.19627,A,13291261,-0.004,-142.77469399999998,30.018254,-48.815805,Crt,74.13102413009176
54585,54585,Gl 417,21.925,6.41,4.705,0.15097,G,16702104,0.6,-17.399524,3.65562,12.82955,UMa,1.1428783347897713
54586,54586,4350.0,50.4032,5.37,1.858,0.17944,A,13291261,0.175,-32.295576000000004,6.783532000000001,-38.097939000000004,Cen,15.732581854464676
54588,54588,4348.0,189.7533,6.39,-0.001,0.19803,K,16623706,1.381,-172.48609,36.207057,-70.312384,Crt,87.17661466018498
54605,54605,4344.0,102.0408,6.63,1.5859999999999999,0.18216,A,13291261,0.098,-57.439080000000004,12.015125,83.478757,UMa,20.21156766960755
54607,54607,4355.0,95.8773,5.22,0.311,0.19491,B,9214460,-0.08199999999999999,-40.889865,8.551003999999999,-86.29827399999999,Car,65.40335094488948
54623,54623,4353.0,260.4167,6.12,-0.958,0.20759999999999998,G,16702104,1.055,-164.774724,34.314244,-198.717672,Cen,210.47474886559758
54643,54643,NN 3650,25.3678,10.29,8.269,0.11532999999999999,M,16541255,1.4240000000000002,-24.839791,5.1477059999999994,0.10574700000000001,Leo,0.042894340999678135
54650,54650,Gl 418,18.2815,8.7,7.39,0.12412,K,16623706,1.179,-17.847422,3.694354,1.428748,Leo,0.09638290236239704
54651,54651,4354.0,192.6782,5.77,-0.654,0.20456,K,16623706,1.661,-134.872509,27.903288,-134.743108,Cen,159.07429237502194
